kic,fits_count,download
10082618,17,Y
10055674,17,Y
10034643,15,Y
10019769,17,Y
10001796,18,Y
10087158,14,Y
10066200,17,Y
7100673,18,Y
10025167,14,Y
10119885,17,Y
10034227,15,Y
10054938,18,Y
10015534,18,Y
10026372,14,Y
10079678,17,Y
10086842,14,Y
10095469,8,Y
10069277,18,Y
10069045,18,Y
10069421,17,Y
10014875,17,Y
10093567,14,Y
10079481,18,Y
10018442,17,Y
3447722,17,Y
100000945,0,N
10011399,4,Y
10023069,15,Y
100000926,0,N
10094183,5,Y
10083134,18,Y
10067148,17,Y
10026578,11,Y
10065049,18,Y
10058137,3,Y
10094721,14,Y
10025907,4,Y
10088528,14,Y
10089267,14,Y
10065244,18,Y
10074938,17,Y
10024674,11,Y
10035150,15,Y
10006140,18,Y
11296045,18,Y
10001391,17,Y
10093963,14,Y
10070762,14,Y
10124534,18,Y
10123523,18,Y
10082449,17,Y
10026329,14,Y
10015937,16,Y
10793172,17,Y
10079075,17,Y
10000620,18,Y
10024687,15,Y
10123716,17,Y
10014644,1,Y
10031503,14,Y
10025331,11,Y
10120503,8,Y
10054352,3,Y
